Name,product_link,image,off,color,Details,Care_For_Me,Delivery
P.A. Plus Patchwork Cami Top,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/pa-plus-patchwork-cami-top,,or 4 payments of$with,Multi,"Available online only &amp;amp; in selected stores, call your nearest store for product availability&amp;nbsp;/Look pretty in patchwork with this bright coloured PJ top! Featuring broderie lace trim on a button down, flowy fashion cami style, this one will add a pop of fun to every night.&amp;nbsp;Wide broderie detail strapsStraight necklineButton down detailBroderie lace trim/Model is usually a size 16 and wears a +1./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
P.A. Plus Patchwork Pj Pant,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/pa-plus-patchwork-pj-pant,,or 4 payments of$with,Multi,"Available online only &amp;amp; in selected stores, call your nearest store for product availability&amp;nbsp;/Look pretty in patchwork with this bright coloured PJ pant! Featuring broderie lace trim on a cropped 3/4 length style, this one will add a pop of fun to every night.&amp;nbsp;Elastic waistbandDrawstring3/4 leg lengthBroderie lace trim&amp;nbsp;/Model is usually a size 16 and wears a +1./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
P.A. Plus Strawberry Shortcake Pj Set,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/pa-plus-strawberry-shortcake-pj-set-817847-multi-1,,or 4 payments of$with,Multi,"We hope your day is simply delicious in this Strawberry Shortcake women's set, featuring a short sleeve shirt and mini short. Be sure to take a sniff of the matching bag and swing tag, scented with strawberries for a berry sweet night!Collar &amp;amp; button down frontPenny logo embroideryShort sleevesMatching mini PJ shortElastic waistbandComes in matching scented fabric bagScratch &amp;amp; Sniff feature on swing tag/Model is usually a size 16 and wears a +1./","ul&gt;Wash before wear&amp;nbsp;Cold gentle machine wash separately using mild detergent&amp;nbsp;Turn inside out&amp;nbsp;Do not soak, bleach, rub or wring&amp;nbsp;Remove promptly&amp;nbsp;Do not tumble dry&amp;nbsp;Dry flat in shade easing back into shape&amp;nbsp;Cool iron on reverse if needed excluding print or embellishment&amp;nbsp;Do not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
P.A. Plus The Very Hungry Caterpillar Short,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/pa-plus-hungry-caterpillar-short-817864-multi-1,,or 4 payments of$with,Multi,"Available online only &amp;amp; in selected stores, call your nearest store for product availability&amp;nbsp;/Crawl into bed with this adorable The Very Hungry Caterpillar mid short, that'll have you feeling as beautiful as a butterfly! Be sure to pair with the matching oversized tee for the perfect set.&amp;nbsp;Elastic waistbandDrawstringCurved hem with side splitMid lengthSide pockets/Model is usually a size 16 and wears a +1./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
P.A. Plus Butterfly Frill Sleeveless Nightshirt,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/pa-plus-butterfly-frill-sleeveless-nightshirt-818331-multi-1,,or 4 payments of$with,Multi,"Fly away in your dreams with this stunning frill sleeve nightshirt. Loose, comfy and lightweight for the warmer months.&amp;nbsp;Collar &amp;amp; button down frontFrill sleevesKnee lengthLoose fitSide pockets/Model is usually a size 16 and wears a +1./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shade easing back into shapeWarm iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
P.A. Plus Berries Short Sleeve 3/4 Pj Set,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/pa-plus-berries-short-sleeve-3-4-pj-set-818333-multi-1,,or 4 payments of$with,Multi,"We're sure you'll love this fashion set berry much! Featuring an all over garden inspired print, this set featured a puff sleeve shirt and matching cropped pant for a comfy yet cute look.Round necklineButton up shirtPenny logo embroidery3/4 length puff sleevesMatching 3/4 PJ pantsElasticised waistbandComes in matching fabric bag/Model is usually a size 16 and wears a +1./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
P.A. Plus Summer Buffalo Check Gown,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/pa-plus-summer-buffalo-check-gown-818334-blue-1,,or 4 payments of$with,Blue,You'll be wrapped with this lightweight summer gown in a blue gingham print. Perfect for pairing with your favourite Peter Alexander jammies!Relaxed fitLong sleevesSelf fabric waist tieFashion style/Model is usually a size 16 and wears a +1./,"ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptly&amp;nbsp;Do not tumble dryLine dry in shade easing back into shapeWarm iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
P.A. Plus Butterfly Short Sleeve Shirt,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/pa-plus-butterfly-short-sleeve-shirt-818335-multi-1,,or 4 payments of$with,Multi,"Fly away in your dreams with this stunning garden print shirt, featuring delicate butterflies and flowers. Make it a set with the matching pants or shorts tonight.&amp;nbsp;&amp;nbsp;Collar &amp;amp; button down frontShort sleevesBlue trim detailsCurved hem/Model is usually a size 16 and wears a +1./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
P.A. Plus Butterfly Pj Pant,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/pa-plus-butterfly-pj-pant-818352-multi-1,,or 4 payments of$with,Multi,"Take a walk through the garden in these stunning soft cotton pants, featuring an all over butterfly floral print that'll have you drifting away at night.&amp;nbsp;Elastic waistbandDrawstringClassic straight leg pant shape/Model is usually a size 16 and wears a +1./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
P.A. Plus The Very Hungry Caterpillar Tee,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/pa-plus-hungry-caterpillar-tee-818770-multi-1,,or 4 payments of$with,Multi,"Available online only &amp;amp; in selected stores, call your nearest store for product availability&amp;nbsp;/Crawl into bed with this adorable The Very Hungry Caterpillar tee. Featuring our brand name and a fun stripe print on an oversized style to keep you looking cute and comfy all season long.Round neckShort sleevesOversized fit/Model is usually a size 16 and wears a +1./","ul&gt;Wash before wear&amp;nbsp;Cold gentle machine wash separately using mild detergent&amp;nbsp;Turn inside out&amp;nbsp;Do not soak, bleach, rub or wring&amp;nbsp;Remove promptly&amp;nbsp;Do not tumble dry&amp;nbsp;Dry flat in shade easing back into shape&amp;nbsp;Cool iron on reverse if needed excluding print or embellishment&amp;nbsp;Do not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
P.A. Plus Strawberry Shortcake Tee,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/pa-plus-strawberry-shortcake-tee-818814-multi-1,,or 4 payments of$with,Multi,We hope your day is simply delicious in this Strawberry Shortcake women's tee! Made from our stunning pointelle fabrication to keep you looking cute and feeling comfy all night long. Be sure to have a smell of our Scratch N Sniff swing tag for a berry sweet scent.Round neckShort sleeves with broderie lace trimRegular fit&amp;nbsp;Scratch &amp;amp; Sniff feature on swing tag/Model is usually a size 16 and wears a +1./,"ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
P.A. Plus Veggie Patch Nightie,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/pa-plus-veggie-patch-nightie-819265-multi-1,,or 4 payments of$with,Multi,"Available online only &amp;amp; in selected stores, call your nearest store for product availability&amp;nbsp;/You'll be looking fresh and delicious in this juicy full length nightie, featuring an all over Veggie Patch print! Featuring adjustable spaghetti straps and in a loose fit for comfort and convenience.&amp;nbsp;&amp;nbsp;Adjustable spaghetti strapsFrill detail on necklineFull length/Model is usually a size 16 and wears a +1./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shade easing back into shapeWarm iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
P.A. Plus Textured Short Sleeve Shirt,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/pa-plus-textured-short-sleeve-shirt-819939-multi-1,,or 4 payments of$with,Multi,"Got a green thumb? Match it with this textured green shirt from our Veggie Patch collection, featuring two top patch pockets and white piping.&amp;nbsp;Collar &amp;amp; button down frontTop patch pocketsWhite piping detailPenny logo embroidery/Model is usually a size 16 and wears a +1./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptly&amp;nbsp;Do not tumble dryLine dry in shade easing back into shapeWarm iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
P.A. Plus Textured 3/4 Pj Pant,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/pa-plus-textured-3-4-pj-pant-819940-multi-1,,or 4 payments of$with,Multi,"Got a green thumb? Match it with this textured 3/4 PJ pant from our Veggie Patch collection, featuring white piping and our signature penny logo embroidery.&amp;nbsp;Elastic waistbandDrawstring3/4 leg lengthWhite piping detailPenny logo embroidery/Model is usually a size 16 and wears a +1./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptly&amp;nbsp;Do not tumble dryLine dry in shade easing back into shapeWarm iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
P.A. Plus Floral Lace Hanky Hem,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/pa-plus-floral-lace-hanky-hem-819942-multi-1,,or 4 payments of$with,Multi,"This stunning hanky hem nightie is sure to be your pick of the bunch! Comfy, flowy and perfect for a good night(ie) sleep!Round neckContrast block colour neck and sleevesFront pocketsHanky style hemLoose fit/Model is usually a size 16 and wears a +1./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptly&amp;nbsp;Do not tumble dryDry flat in shade easing back into shapeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
P.A. Plus Fuzzy Gingham Short,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/pa-plus-fuzzy-gingham-short-817662-multi-1,,or 4 payments of$with,Multi,"Available online only &amp;amp; in selected stores, call your nearest store for product availability&amp;nbsp;/Get rid of your morning blues with this fashion style short, featuring an all over gingham print with a frill detail, designed to pair back with our matching crop or shirt.&amp;nbsp;Elastic waistbandDrawstringMini lengthFrill detailSide pockets/Model is usually a size 16 and wears a +1./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergent inside a laundry bagDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryDry flat in shade easing back into shapeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Crawlies Boxer Short,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/crawlies-boxer-short-835236-multi-1,,or 4 payments of$with,Multi,"Crawl into bed with these new mens boxer shorts. Featuring an all over bug print, these shorts pair well with our Men's Classic Tee.P.A. logo elastic waistbandTwin button flyShort lengthRegular fit/Our model is wearing a size medium. He is 189 cm tall, with a 104 cm chest and 77.5cm waist./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Rooster Mid Short,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/rooster-mid-short-835237-yellow-1,,or 4 payments of$with,Yellow,"What a good looking Rooster! Pair these boxer shorts with the matching or P.A. tee for the ultimate PJ combo!&amp;nbsp;P.A. logo elastic waistbandTwin button flyMid lengthRegular fitSide pockets/Our model is wearing a size medium. He is 189 cm tall, with a 104 cm chest and 77.5cm waist./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Hammock Stripe Mid Short,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/hammock-stripe-mid-short-835238-multi-1,,or 4 payments of$with,Multi,"Get ready for bed in this stripe PJ short. In a mid length, these PJs are perfect to pair with any P.A. top.&amp;nbsp;P.A. logo elastic waistbandTwin button flyMid lengthRegular fitSide pockets/Our model is wearing a size medium. He is 189 cm tall, with a 104 cm chest and 77.5cm waist./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Blue Buffalo Check Sleep Short,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/blue-buffalo-check-sleep-short-835239-blue-white-1,,or 4 payments of$with,Blue/White,"Check out these men's PJ shorts. In an all over checked pattern and in a longer length, these are perfect for a good night sleep. Pair with any of Peter's classic P.A. tees for the perfect bedtime look.Elastic waistbandDrawstring&amp;nbsp;Knee lengthRelaxed fitSide pockets/Our model is wearing a size medium. He is 189 cm tall, with a 104 cm chest and 77.5cm waist./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shade easing back into shapeWarm iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Cock-A Doodle Tee,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/cock-a-doodle-tee-835255-cream-1,,or 4 payments of$with,Cream,"He'll be the best looking rooster in this P.A. tee. In a classic grey colour this top features the a rooster and his morning call. Make it a set and pair with the Rooster Mid Shorts.Round neckShort sleevesRegular fit/Our model is wearing a size medium. He is 189 cm tall, with a 104 cm chest and 77.5cm waist./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Olive Knit Mid Short,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/olive-knit-mid-short-835256-olive-1,,or 4 payments of$with,Olive,"Perfect for the man who likes the keep his PJ shorts classic, these Mid Shorts are perfect. Pair with one of Peter's classic tees or one of his novelty top. The perfect at home combo.Elastic waistbandDrawstringMid lengthRegular fitSide pockets/Our model is wearing a size medium. He is 189 cm tall, with a 104 cm chest and 77.5cm waist./","ul&gt;Wash before wear&amp;nbsp;Cold gentle machine wash separately using mild detergent&amp;nbsp;Turn inside out&amp;nbsp;Do not soak, bleach, rub or wring&amp;nbsp;Remove promptly&amp;nbsp;Do not tumble dry&amp;nbsp;Dry flat in shade easing back into shape&amp;nbsp;Cool iron on reverse if needed excluding print or embellishment&amp;nbsp;Do not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Buffalo Check Short Pj Set,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/buffalo-check-short-pj-set-835279-blue-white-1,,or 4 payments of$with,Blue/White,"Get set for bed with this classic PJ set for men! Featuring short sleeve shirt and matching mid shorts, it makes for perfect night in. Made from a cotton sateen fabric, these will be sure to set you for a good night sleep!&amp;nbsp;&amp;nbsp;Collar &amp;amp; button down frontTop pocketShort sleevesMatching PJ shortElastic waistbandDrawstringComes in matching bagSide pockets/Our model is wearing a size medium. He is 189 cm tall, with a 104 cm chest and 77.5cm waist./","ul&gt;Wash before wearCold gentle machine wash separately using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Hammock Stripe Boxer Short,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/hammock-stripe-boxer-short-835280-multi-1,,or 4 payments of$with,Multi,"Head to bed with comfort on your mind in these blue, orange and white stripe boxer shorts. Pair it with any classic tee for the ultimate PJ combo!&amp;nbsp;P.A. logo elastic waistbandTwin button flyShort lengthRegular fit/Our model is wearing a size medium. He is 189 cm tall, with a 104 cm chest and 77.5cm waist./","ul&gt;Wash before wearCold gentle machine wash separately using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Hungry Caterpillar Mid Short,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/hungry-caterpillar-mid-short-835281-multi-1,,or 4 payments of$with,Multi,"The Hungry Caterpillar x Peter Alexander makes for the cutest PJ collection and these men mid shorts. Pair it with any classic tee for the ultimate PJ combo!&amp;nbsp;Elastic waistbandDrawstringMid lengthRegular fitSide pockets/Our model is wearing a size medium. He is 189 cm tall, with a 104 cm chest and 77.5cm waist./","ul&gt;Wash before wearCold gentle machine wash separately using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Hammock Stripe Eye Mask,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/hammock-stripe-eye-mask-868700-multi-1,,or 4 payments of$with,Multi,Get ready for a stripey night ahead in this men's eye mask. Pair it with the matching PJ bottoms for a perfect pyjama combo.Pattern print on outerSoftly paddedSuper soft inner lining&amp;nbsp;P.A. logo elasticated strap/,"ul&gt;Wash before wearCold gentle machine wash separately using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Jnr Boys Keith Haring Skater Pj Set,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/jnr-boys-keith-haring-skater-pj-set-852532-multi-1,,or 4 payments of$with,Multi,"Perfect for your little skater dude, this PJ set for junior boys makes the perfect pair. With artwork by Keith Haring this PJ set matches back with Mum, Dad &amp;amp; his sisters too!Round necklineShort sleevesMatching shortsElasticated waistband with drawstringComes in a matching fabric bagSide pockets/","ul&gt;Wash before wear&amp;nbsp;Cold gentle machine wash separately using mild detergent&amp;nbsp;Turn inside out&amp;nbsp;Do not soak, bleach, rub or wring&amp;nbsp;Remove promptly&amp;nbsp;Do not tumble dry&amp;nbsp;Dry flat in shade easing back into shape&amp;nbsp;Cool iron on reverse if needed excluding print or embellishment&amp;nbsp;Do not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Boys Keith Haring Party Pj Set,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/boys-keith-haring-party-pj-set-852535-multi-1,,or 4 payments of$with,Multi,"Perfect for the skater dude, this PJ set for boys makes the perfect pair. With artwork by Keith Haring this PJ set matches back with Mum, Dad &amp;amp; his sisters too!Round necklineShort sleevesMatching shortsElasticated waistband with drawstringComes in a matching fabric bag/","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryDry flat in shade easing back into shapeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
