Name,Dease_URL,Dease_image
Basal cell carcinoma affecting the face images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-face-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0616__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Basal cell carcinoma affecting the nose images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-nose-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0629__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Basal cell carcinoma affecting the nose images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-nose-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0629__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Basal cell carcinoma affecting the nose images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-nose-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0629__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Basal cell carcinoma affecting the nose images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-nose-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0629__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Basal cell carcinoma affecting the trunk images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-trunk-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0653__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Basal cell carcinoma affecting the trunk images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-trunk-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0653__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Bacterial skin infection images,https://dermnetnz.org/image-catalogue/bacterial-skin-infection-images/?stage=Live,https://dermnetnz.org/assets/Uploads/syph6-s-2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Candida albicans affecting the nail images,https://dermnetnz.org/topics/candida-albicans-affecting-the-nail-images/?stage=Live,https://dermnetnz.org/assets/Uploads/1272__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Basal cell carcinoma affecting the trunk images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-trunk-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0653__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Candida intertrigo images,https://dermnetnz.org/topics/candida-intertrigo-images/?stage=Live,https://dermnetnz.org/assets/Uploads/1292__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Basal cell carcinoma affecting the trunk images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-trunk-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0653__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Candida vulvovaginitis images,https://dermnetnz.org/topics/candida-vulvovaginitis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/1265-small2__FocusFillWzE1MCwxMTAsInkiLDYzXQ.jpg
"Candida affecting the lips, mouth and face images",https://dermnetnz.org/topics/candida-affecting-the-lips-mouth-and-face-images/?stage=Live,https://dermnetnz.org/assets/Uploads/1282-big2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Capillaritis images,https://dermnetnz.org/topics/capillaritis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2509__FocusFillWzE1MCwxMTAsIngiLDdd.jpg
"Candida affecting the lips, mouth and face images",https://dermnetnz.org/topics/candida-affecting-the-lips-mouth-and-face-images/?stage=Live,https://dermnetnz.org/assets/Uploads/1282-big2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Cherry angioma images,https://dermnetnz.org/topics/cherry-angioma-images/?stage=Live,https://dermnetnz.org/assets/Uploads/1317__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
"Candida affecting the lips, mouth and face images",https://dermnetnz.org/topics/candida-affecting-the-lips-mouth-and-face-images/?stage=Live,https://dermnetnz.org/assets/Uploads/1282-big2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Chronic plaque psoriasis images,https://dermnetnz.org/topics/chronic-plaque-psoriasis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/dscn5640__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Capillaritis images,https://dermnetnz.org/topics/capillaritis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2509__FocusFillWzE1MCwxMTAsIngiLDdd.jpg
Corn images,https://dermnetnz.org/topics/corn-clavus-images/?stage=Live,https://dermnetnz.org/assets/Uploads/clavus11-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Capillaritis images,https://dermnetnz.org/topics/capillaritis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2509__FocusFillWzE1MCwxMTAsIngiLDdd.jpg
